timestamp,open,high,low,close,volume
1741968000000,2.3473,2.3789,2.3045,2.355,8560089.1
1741982400000,2.3551,2.3599,2.3149,2.3254,4806807.9
1741996800000,2.3249,2.3828,2.3159,2.3795,5815442.2
1742011200000,2.379,2.4269,2.3381,2.3429,8751193.9
1742025600000,2.3429,2.3579,2.3,2.3257,5630049.8
1742040000000,2.3258,2.3743,2.3165,2.3693,7333863.5
1742054400000,2.3694,2.3793,2.3328,2.3577,4663490.9
1742068800000,2.3578,2.3823,2.3475,2.3523,3366553.5
1742083200000,2.3523,2.3677,2.313,2.3424,3671002.8
1742097600000,2.3423,2.3552,2.3116,2.3379,3040505.9
1742112000000,2.3381,2.3418,2.2261,2.2279,7678009.7
1742126400000,2.2278,2.2626,2.2088,2.2392,9188560.7
1742140800000,2.2392,2.3003,2.2188,2.2356,8655749.6
1742155200000,2.2359,2.256,2.2051,2.2314,4651048.5
1742169600000,2.2314,2.3075,2.2288,2.303,5117494.1
1742184000000,2.303,2.3158,2.2432,2.2968,6858894.5
1742198400000,2.2969,2.3209,2.2731,2.291,5690767.3
1742212800000,2.291,2.3484,2.2527,2.3291,20200093.5
1742227200000,2.3291,2.3797,2.2869,2.3641,12894554.6
1742241600000,2.3641,2.3815,2.3313,2.379,7717839.4
1742256000000,2.379,2.3884,2.3156,2.3439,10635517.4
1742270400000,2.3439,2.3483,2.274,2.2845,10281545.6
1742284800000,2.2845,2.3376,2.2561,2.2651,8328523.6
1742299200000,2.265,2.2755,2.2206,2.2376,11209534.2
1742313600000,2.2377,2.277,2.2293,2.2697,6419322.8
1742328000000,2.2696,2.2974,2.252,2.2847,5615725.5
1742342400000,2.2848,2.33,2.2771,2.3279,5537552.3
1742356800000,2.3278,2.3377,2.3047,2.3073,14963436.2
1742371200000,2.3074,2.3766,2.3069,2.3583,6009003.5
1742385600000,2.358,2.4414,2.3355,2.42,16677510.7
1742400000000,2.4199,2.4767,2.3432,2.4263,14783864.7
1742414400000,2.4265,2.4867,2.3871,2.4745,7933074.4
1742428800000,2.4744,2.4991,2.3977,2.4162,7194964.2
1742443200000,2.4161,2.4416,2.3968,2.4254,3606609.4
1742457600000,2.4252,2.5014,2.4168,2.4386,9608251.4
1742472000000,2.4385,2.49,2.3936,2.3947,13007959.1
1742486400000,2.3946,2.4169,2.3499,2.3812,7857486.8
1742500800000,2.3813,2.3885,2.3431,2.3571,3345065.2
1742515200000,2.3567,2.3694,2.3121,2.3133,5707706.8
1742529600000,2.3133,2.3363,2.2806,2.2958,5986098.4
1742544000000,2.2957,2.3055,2.2419,2.2567,11861089.2
1742558400000,2.2568,2.2762,2.2419,2.2508,9540014.5
1742572800000,2.2509,2.2941,2.2458,2.2735,6459153.2
1742587200000,2.2736,2.3005,2.2325,2.2527,5687327.6
1742601600000,2.2525,2.2704,2.2331,2.2528,3643652.3
1742616000000,2.2527,2.2732,2.2467,2.2592,2804497.9
1742630400000,2.2592,2.3089,2.2548,2.2825,5839642.5
1742644800000,2.2826,2.2985,2.261,2.2957,4022239.3
